ID,Binomial,Common_name,Class,Citation,Location,Units,Method,TaxonomicGroup,exclude_manual,notes
12650,Clangula_hyemalis,Long-tailed duck,Aves,"Nilsson, L. (2012). ""Distribution and numbers of wintering sea ducks in Swedish offshore waters."" Ornis Svecica 22: 39-59.",South coast of Scania,Annual total number of individuals,Annual boats and aerial survey counts conducted as part of the International Midwinter Waterbirds Census (Wetlands International).,Birds,no,
12656,Clangula_hyemalis,Long-tailed duck,Aves,"Nilsson, L. (2012). ""Distribution and numbers of wintering sea ducks in Swedish offshore waters."" Ornis Svecica 22: 39-59.","Blekinge archipelago, southeast Sweden",Annual total number of individuals,Annual boats and aerial survey counts conducted as part of the International Midwinter Waterbirds Census (Wetlands International).,Birds,no,
12659,Clangula_hyemalis,Long-tailed duck,Aves,"Nilsson, L. (2012). ""Distribution and numbers of wintering sea ducks in Swedish offshore waters."" Ornis Svecica 22: 39-59.",North ?¹land,Annual total number of individuals,Annual boats and aerial survey counts conducted as part of the International Midwinter Waterbirds Census (Wetlands International).,Birds,no,
8564,Atrichornis_clamosus,Noisy scrub-bird,Aves,"Olsen, P. (2008). The State of Australia's Birds 2008. Wingspan (supplement), Birds Australia. 18: 1-40.","Mt Gardner, Australia",Population Index,Unspecified,Birds,no,
5425,Pygoscelis_adeliae,Adelie penguin,Aves,"Wilson, P. R., D. G. Ainley, et al. (2001). ""Adélie penguin population change in the pacific sector of Antarctica: relation to sea-ice extent and the Antarctic Circumpolar Current."" Marine Ecology Progress Series. 213: 301–309. | Landcare Research (2015). Adélie census data. http://www.landcareresearch.co.nz/resources/data/adelie-census-data.","Cape Royds, Ross Island, in the southwestern Ross Sea",Number of Breeding Pairs,Counts of occupied nest from aerial reconnaissance and photographs,Birds,no,
7838,Petromyzon_marinus,Sea lamprey,Petromyzonti," Beaulaton, L., C. Tavernyb, et al. (2008). ""Fishing, abundance and life history traits of the anadromous sea lamprey (Petromyzon marinus) in Europe."" Fisheries Research 92: 90-101.","Dordogne (fishing zones 10-13), Garonne Basin, France",Catch per unit effort (kg/day),Fisheries data,Fishes,no,FD data
8589,Merluccius_bilinearis,Silver hake / Whiting,Actinopteri," Col, L. and M. Traver (2006). Silver Hake. Status of Fishery Resources off the Northeastern US for 2006, National Marine Fisheries Service.",Northern stock,Biomass index (kg/tow),Bottom trawl,Fishes,no,
8590,Merluccius_bilinearis,Silver hake / Whiting,Actinopteri," Col, L. and M. Traver (2006). Silver Hake. Status of Fishery Resources off the Northeastern US for 2006, National Marine Fisheries Service.",Southern stock,Biomass index (kg/tow),Bottom trawl,Fishes,no,
1420,Gadus_morhua,Atlantic cod / Cod,Actinopteri, DFO (2000). Cod in the southern Gulf of St. Lawrence. DFO Sci. Stock Status Rep. A3-01 (2000).,Southern Gulf of St Lawrence (A3-01),Spawning Biomass (000 t),"Based on landings, RV and sentinel survey and catch rate data",Fishes,yes,
4506,Clupea_harengus,Atlantic herring,Actinopteri, DFO (2006). 2006 Assessment of 4VWX Herring. Sci. Advis. Rep. 2006/031. D. C. S. A. Sec: 1-13.,NAFO 4VWX area,Total Biomass (tonnes),Total Biomass from a VPA (Virtual Population Analysis) calibrated with the German Bank acoustic index,Fishes,yes,
885,Salvelinus_namaycush,Lake trout,Actinopteri," Hansen, M. J., J. W. Peck, et al. (1995). ""Lake trout (Salvelinus namaycush) populations in Lake Superior and restoration in 1959-1993."" Journal of Great Lakes Research 21(Supplement 1): 152-175.",Michigan Waters of Lake Superior,Abundance index (percentage of the 1929-1943 mean),Assessment gillnet fishing,Fishes,no,
886,Salvelinus_namaycush,Lake trout,Actinopteri," Hansen, M. J., J. W. Peck, et al. (1995). ""Lake trout (Salvelinus namaycush) populations in Lake Superior and restoration in 1959-1993."" Journal of Great Lakes Research 21(Supplement 1): 152-175.",Wisconsin Waters of Lake Superior,Abundance index (percentage of the 1929-1943 mean),Assessment gillnet fishing,Fishes,no,
5746,Oncorhynchus_keta,Chum salmon,Actinopteri," JTC (2007). Yukon River salmon 2006 season summary and 2007 season outlook. Regional Information Report No. 3A07-01. D. o. C. F. a. O. C. Alaska Department of Fish and Game. Anchorage.| JTC (2009). Yukon River salmon 2008 season summary and 2007 season outlook. Regional Information Report No. 3A09-01. D. o. C. F. a. O. C. Alaska Department of Fish and Game. Anchorage. | JTC (Joint Technical Committee of the Yukon River U.S./Canada Panel) (2020). Yukon River salmon 2019 season summary and 2020 season outlook. Regional Information Report 3A20-01. Anchorage, Alaska, Alaska Department of Fish and Game, Division of Commercial Fisheries.","Fishing Branch River, Porcupine River drainage",number of fish,Aerial survey count. Total escapement estimated using weir to aerial survey expansion factor of 2.72,Fishes,no,
5765,Oncorhynchus_kisutch,Coho salmon,Actinopteri," JTC (2007). Yukon River salmon 2006 season summary and 2007 season outlook. Regional Information Report No. 3A07-01. D. o. C. F. a. O. C. Alaska Department of Fish and Game. Anchorage.| JTC (2009). Yukon River salmon 2008 season summary and 2007 season outlook. Regional Information Report No. 3A09-01. D. o. C. F. a. O. C. Alaska Department of Fish and Game. Anchorage. | JTC (Joint Technical Committee of the Yukon River U.S./Canada Panel) (2020). Yukon River salmon 2019 season summary and 2020 season outlook. Regional Information Report 3A20-01. Anchorage, Alaska, Alaska Department of Fish and Game, Division of Commercial Fisheries.","Delta Clearwater River, Upper Tanana river drainage, Yukon, Alaska",number of fish,boat survey counts,Fishes,no,
5781,Oncorhynchus_keta,Chum salmon,Actinopteri," JTC (2007). Yukon River salmon 2006 season summary and 2007 season outlook. Regional Information Report No. 3A07-01. D. o. C. F. a. O. C. Alaska Department of Fish and Game. Anchorage.| JTC (2009). Yukon River salmon 2008 season summary and 2007 season outlook. Regional Information Report No. 3A09-01. D. o. C. F. a. O. C. Alaska Department of Fish and Game. Anchorage. | JTC (Joint Technical Committee of the Yukon River U.S./Canada Panel) (2020). Yukon River salmon 2019 season summary and 2020 season outlook. Regional Information Report 3A20-01. Anchorage, Alaska, Alaska Department of Fish and Game, Division of Commercial Fisheries.","Anvik River, Yukon river drainage, Alaska",number of fish,sonar-based escapement count,Fishes,no,
5808,Oncorhynchus_tshawytscha,Chinook salmon,Actinopteri, JTC (2007). Yukon River salmon 2006 season summary and 2007 season outlook. Regional Information Report No. 3A07-01. D. o. C. F. a. O. C. Alaska Department of Fish and Game. Anchorage.| JTC (2009). Yukon River salmon 2008 season summary and 2007 season outlook. Regional Information Report No. 3A09-01. D. o. C. F. a. O. C. Alaska Department of Fish and Game. Anchorage.,"Whitehorse fishway Rapids, Yukon",number of fish,unknown,Fishes,no,
5749,Oncorhynchus_keta,Chum salmon,Actinopteri," JTC (2007). Yukon River salmon 2006 season summary and 2007 season outlook. Regional Information Report No. 3A07-01. D. o. C. F. a. O. C. Alaska Department of Fish and Game. Anchorage.| JTC (2011). Yukon River Salmon 2010 Season Summary and 2011 Season Outlook. Regional Information Report. T. U. S. a. C. Y. R. J. T. Committee, Alaska Department of Fish and Game. No. 3A11-01: 220. | JTC (Joint Technical Committee of the Yukon River U.S./Canada Panel) (2020). Yukon River salmon 2019 season summary and 2020 season outlook. Regional Information Report 3A20-01. Anchorage, Alaska, Alaska Department of Fish and Game, Division of Commercial Fisheries.","Delta River, Tanana River drainage, Alaska",spawner abundance,"Estimates are a total spawner abundance, using migratory time density curves and stream life data",Fishes,no,
11096,Gadus_morhua,Atlantic cod / Cod,Actinopteri," Mayo, R. and L. O'Brien (2006). Atlantic cod. Status of Fishery Resources off the Northeastern US NEFSC ",Georges Bank (5Z),Mean weight per tow (kg),Autumn RV bottom trawl survey,Fishes,no,
848,Oncorhynchus_nerka,Sockeye salmon / Red salmon,Actinopteri," Myers, R. Ransom Myers' Stock Recruitment Database.","Adams Complex, British Columbia",Individual fish,SR,Fishes,no,
849,Oncorhynchus_nerka,Sockeye salmon / Red salmon,Actinopteri," Myers, R. Ransom Myers' Stock Recruitment Database.","Birkenhead River, BC",Number of fish,SR,Fishes,no,
850,Oncorhynchus_nerka,Sockeye salmon / Red salmon,Actinopteri," Myers, R. Ransom Myers' Stock Recruitment Database.","Chilko Lake, British Columbia",Numbers of effective females,Count,Fishes,no,
851,Oncorhynchus_nerka,Sockeye salmon / Red salmon,Actinopteri," Myers, R. Ransom Myers' Stock Recruitment Database.","Chilko River, BC",Individual fish,SR,Fishes,no,
852,Oncorhynchus_nerka,Sockeye salmon / Red salmon,Actinopteri," Myers, R. Ransom Myers' Stock Recruitment Database.","Early Stuart Complex, BC",Number of fish,SR,Fishes,no,
853,Oncorhynchus_nerka,Sockeye salmon / Red salmon,Actinopteri," Myers, R. Ransom Myers' Stock Recruitment Database.","Horsefly River, BC",Number of fish,SR,Fishes,no,
854,Oncorhynchus_nerka,Sockeye salmon / Red salmon,Actinopteri," Myers, R. Ransom Myers' Stock Recruitment Database.","Late Stuart Complex, BC",Number of fish,SR,Fishes,no,
856,Oncorhynchus_nerka,Sockeye salmon / Red salmon,Actinopteri," Myers, R. Ransom Myers' Stock Recruitment Database.","Rivers Inlet, BC",Millions of fish,SR,Fishes,no,
857,Oncorhynchus_nerka,Sockeye salmon / Red salmon,Actinopteri," Myers, R. Ransom Myers' Stock Recruitment Database.","Smith Inlet, BC",Thousands of fish,SR,Fishes,no,
858,Oncorhynchus_nerka,Sockeye salmon / Red salmon,Actinopteri," Myers, R. Ransom Myers' Stock Recruitment Database.","Stellako River, BC",Number of fish,SR,Fishes,no,
859,Oncorhynchus_nerka,Sockeye salmon / Red salmon,Actinopteri," Myers, R. Ransom Myers' Stock Recruitment Database.","Weaver Creek, BC",Individual fish,SR,Fishes,no,
861,Oncorhynchus_nerka,Sockeye salmon / Red salmon,Actinopteri," Myers, R. Ransom Myers' Stock Recruitment Database.","Black Lake, Alaska",Millions of fish,SR,Fishes,no,
862,Oncorhynchus_nerka,Sockeye salmon / Red salmon,Actinopteri," Myers, R. Ransom Myers' Stock Recruitment Database.","Egegik River, Alaska",Thousands of fish,SR,Fishes,no,
863,Oncorhynchus_nerka,Sockeye salmon / Red salmon,Actinopteri," Myers, R. Ransom Myers' Stock Recruitment Database.","Igushik River, Alaska",Thousands of fish,SR,Fishes,no,
866,Oncorhynchus_nerka,Sockeye salmon / Red salmon,Actinopteri," Myers, R. Ransom Myers' Stock Recruitment Database.","Kvichak River, Alaska",Thousands of fish,SR,Fishes,no,
868,Oncorhynchus_nerka,Sockeye salmon / Red salmon,Actinopteri," Myers, R. Ransom Myers' Stock Recruitment Database.","Naknek, Alaska",Thousands of fish,SR,Fishes,no,
869,Oncorhynchus_nerka,Sockeye salmon / Red salmon,Actinopteri," Myers, R. Ransom Myers' Stock Recruitment Database.","Red River, Alaska",Thousands of fish,SR,Fishes,no,
870,Oncorhynchus_nerka,Sockeye salmon / Red salmon,Actinopteri," Myers, R. Ransom Myers' Stock Recruitment Database.","Ugashik River, Alaska",Thousands of fish,SR,Fishes,no,
871,Oncorhynchus_nerka,Sockeye salmon / Red salmon,Actinopteri," Myers, R. Ransom Myers' Stock Recruitment Database.","Wood River, Alaska",Thousands of fish,SR,Fishes,no,
1379,Brevoortia_tyrannus,Atlantic menhaden,Actinopteri," Myers, R. Ransom Myers' Stock Recruitment Database.",US Atlantic,Tonnes of Females,SPA,Fishes,yes,
1396,Brevoortia_tyrannus,Atlantic menhaden,Actinopteri," Myers, R. Ransom Myers' Stock Recruitment Database.",Iceland summer spawners,Spawning stock biomass (Tonnes),SPA,Fishes,yes,
1406,Brevoortia_tyrannus,Atlantic menhaden,Actinopteri," Myers, R. Ransom Myers' Stock Recruitment Database.",Norway (spring spawners),Spawning stock biomass (Tonnes),SPA,Fishes,yes,
1409,Clupea_pallasii,Pacific herring,Actinopteri," Myers, R. Ransom Myers' Stock Recruitment Database.",Southern Strait of Georgia,Spawning stock biomass (Tonnes),SPA,Fishes,yes,
1485,Melanogrammus_aeglefinus,Haddock,Actinopteri," Myers, R. Ransom Myers' Stock Recruitment Database.",NAFO 5Z,Spawning stock biomass (tonnes),SPA,Fishes,yes,
1487,Melanogrammus_aeglefinus,Haddock,Actinopteri," Myers, R. Ransom Myers' Stock Recruitment Database.",North Sea,Spawning stock biomass (Thousand tonnes),SPA and CPUE,Fishes,yes,
1562,Sprattus_sprattus,European sprat,Actinopteri," Myers, R. Ransom Myers' Stock Recruitment Database.",Black Sea,Spawning stock biomass (Thousand tonnes),SPA,Fishes,yes,
2044,Clupea_pallasii,Pacific herring,Actinopteri," Myers, R. Ransom Myers' Stock Recruitment Database.","Central coast, British Columbia",Spawning stock biomass / million tonnes,SPA,Fishes,yes,
2047,Clupea_pallasii,Pacific herring,Actinopteri," Myers, R. Ransom Myers' Stock Recruitment Database.",North Western coast of Vancouver Island,Spawning stock biomass / million tonnes,SPA,Fishes,yes,
2049,Clupea_pallasii,Pacific herring,Actinopteri," Myers, R. Ransom Myers' Stock Recruitment Database.",Prince Rupert District,Tonnes/millions,SPA,Fishes,yes,
2051,Clupea_pallasii,Pacific herring,Actinopteri," Myers, R. Ransom Myers' Stock Recruitment Database.",Queen Charlotte Islands,Spawning stock biomass / million tonnes,SPA,Fishes,yes,
2056,Clupea_pallasii,Pacific herring,Actinopteri," Myers, R. Ransom Myers' Stock Recruitment Database.",South Western coast of Vancouver Island,Spawning stock biomass / million tonnes,SPA,Fishes,yes,
2077,Chrysophrys_auratus,Silver seabream,Actinopteri," Myers, R. Ransom Myers' Stock Recruitment Database.","Hauraki gulf/Bay of Plenty, New Zealand",Spawning stock biomass/tonnes,RV,Fishes,no,
2171,Thunnus_maccoyii,Southern bluefin tuna,Actinopteri," Myers, R. Ransom Myers' Stock Recruitment Database.",Southern Pacific (2),Spawning stock biomass (tonnes),SPA,Fishes,yes,
1437,Gadus_morhua,Atlantic cod / Cod,Actinopteri," Myers, R. Ransom Myers' Stock Recruitment Database.| DFO (2009). Status of Atlantic Cod (Gadus morhua) in 2008. Research Document 2009/027. C. S. A. Secretariat, Fisheries and Oceans Canada. 2009/027: 1-167.",NAFO 4VsW,Spawning stock biomass (tonnes),SPA,Fishes,yes,
4637,Oncorhynchus_tshawytscha,Chinook salmon,Actinopteri," Ratner, S., Lande R. and Roper, B. (1997). ""Population Viability Analysis of Spring Chinook Salmon in the South Umpqua River, Oregon."" Conservation Biology 11(4): 879-889.","South Umpqua River, Oregon",Number of spawners,Annual counts,Fishes,no,
8603,Lophius_americanus,American angler,Actinopteri," Richards, A. (2006). Goosefish. Status of Fishery Resources off the Northeastern US for 2006. R. Mayo, F. Serchuk and E. HOlmes, National Marine Fisheries Service.","Gulf of Maine, southern stock",Biomass (kg/tow),Bottom trawls,Fishes,no,
4479,Clupea_pallasii,Pacific herring,Actinopteri," Schweigert, J. (2004). Stock assessment for British Columbia herring in 2004 and forecasts of the potential catch in 2005. C. S. A. Secretariat, Fisheries and Oceans, Canada: 1-95.| DFO (2008). STOCK ASSESSMENT ON CENTRAL COAST PACIFIC HERRING. Canadian Science Advisory Secretariat Science Advisory Report. 2008/010: 5.","Central coast stock assessment region, British Columbia",Pre-fishery mature biomass (kilotonnes),"Herring Catch-Age Model based on total catch, spawn abundance, weightat-age, and age structure data",Fishes,yes,
4478,Clupea_pallasii,Pacific herring,Actinopteri," Schweigert, J. (2004). Stock assessment for British Columbia herring in 2004 and forecasts of the potential catch in 2005. C. S. A. Secretariat, Fisheries and Oceans, Canada: 1-95.| DFO (2008). Stock assessment report on Prince Rupert District Pacific herring. Canadian Science Advisory Secretariat Science Advisory Report. 2008/011: 5.","Prince Rupert District stock assessment region, British Columbia",Pre-fishery mature biomass (kilotonnes),"Herring Catch-Age Model based on total catch, spawn abundance, weightat-age, and age structure data",Fishes,yes,
4477,Clupea_pallasii,Pacific herring,Actinopteri," Schweigert, J. (2004). Stock assessment for British Columbia herring in 2004 and forecasts of the potential catch in 2005. C. S. A. Secretariat, Fisheries and Oceans, Canada: 1-95.| DFO (2008). Stock assessment report on Queen Charlotte Islands Pacific herring. Canadian Science Advisory Secretariat Science Advisory Report, Fisheries and Oceans Canada. 2008/012.","Queen Charlotte Islands stock assessment region, British Columbia",Mature pre-fishery biomass (kilotonnes),"Herring Catch-Age Model based on time series of total catch, spawn abundance, weight at-age, and age structure data",Fishes,yes,
4480,Clupea_pallasii,Pacific herring,Actinopteri," Schweigert, J. (2004). Stock assessment for British Columbia herring in 2004 and forecasts of the potential catch in 2005. C. S. A. Secretariat, Fisheries and Oceans, Canada: 1-95.| DFO (2008). Stock assessment report on Strait of Georgia Pacific herring. Canadian Science Advisory Secretariat Science Advisory Report, Fisheries and Oceans Canada. 2008/014: 5.","Strait of Georgia stock assessment region, British Columbia",Pre-fishery Biomass (kilotonnes),"Herring Catch-Age model based on time series of total catch, spawn abundance, weight weightat-age, and age structure data",Fishes,yes,
4481,Clupea_pallasii,Pacific herring,Actinopteri," Schweigert, J. (2004). Stock assessment for British Columbia herring in 2004 and forecasts of the potential catch in 2005. C. S. A. Secretariat, Fisheries and Oceans, Canada: 1-95.| DFO (2008). Stock assessment report on West Coast Vancover Island Pacific herring. Canadian Science Advisory Secretariat Science Advisory Report. 2008/015: 6.","West coast of Vancouver Island stock assessment region, British Columbia",Pre-fishery Biomass (kilotonnes),"Herring Catch-Age model based on time series of total catch, spawn abundance, weight weightat-age, and age structure data",Fishes,yes,
8610,Urophycis_chuss,Red hake,Actinopteri," Traver, M. and L. Col (2006). Red Hake. Status of Fishery Resources off the Northeastern US. R. Mayo, F. Serchuk and E. HOlmes, National Marine Fisheries Service.",Northern stock: the Gulf of Maine to Northern Georges Bank region,Biomass index (stratified mean weight kg/tow),Otter trawl,Fishes,no,
8611,Urophycis_chuss,Red hake,Actinopteri," Traver, M. and L. Col (2006). Red Hake. Status of Fishery Resources off the Northeastern US. R. Mayo, F. Serchuk and E. HOlmes, National Marine Fisheries Service.",Southern stock: the Southern Georges Bank to Mid-Atlantic Bight region,Biomass index (stratified mean weight kg/tow),Otter trawl,Fishes,no,
19870,Alosa_pseudoharengus,Alewife,Actinopteri,"Benoit, H. P. (2006). Standardizing the southern Gulf of St. Lawrence bottom trawl survey time series: Results of the 2004-2005 comparative fishing experiments and other recommendations for the analysis of the survey data. Canadian Science Advisory Secretariat, Fisheries and Oceans Canada.","Southern Gulf of St. Lawrence, NAFO 4T",Average Biomass (kg) per standard tow (ie. 1.75 nautical mile tow),September bottom trawl survey,Fishes,no,
19910,Amblyraja_radiata,Starry ray,Elasmobranchii,"Benoit, H. P. (2006). Standardizing the southern Gulf of St. Lawrence bottom trawl survey time series: Results of the 2004-2005 comparative fishing experiments and other recommendations for the analysis of the survey data. Canadian Science Advisory Secretariat, Fisheries and Oceans Canada.","Southern Gulf of St. Lawrence, NAFO 4T",Average Biomass (kg) per standard tow (ie. 1.75 nautical mile tow),September bottom trawl survey,Fishes,no,
20332,Clupea_harengus,Atlantic herring,Actinopteri,"Benoit, H. P. (2006). Standardizing the southern Gulf of St. Lawrence bottom trawl survey time series: Results of the 2004-2005 comparative fishing experiments and other recommendations for the analysis of the survey data. Canadian Science Advisory Secretariat, Fisheries and Oceans Canada.","Southern Gulf of St. Lawrence, NAFO 4T",Average Biomass (kg) per standard tow (ie. 1.75 nautical mile tow),September bottom trawl survey,Fishes,no,
20406,Cyclopterus_lumpus,Lumpfish / Lumpsucker,Actinopteri,"Benoit, H. P. (2006). Standardizing the southern Gulf of St. Lawrence bottom trawl survey time series: Results of the 2004-2005 comparative fishing experiments and other recommendations for the analysis of the survey data. Canadian Science Advisory Secretariat, Fisheries and Oceans Canada.","Southern Gulf of St. Lawrence, NAFO 4T",Average Biomass (kg) per standard tow (ie. 1.75 nautical mile tow),September bottom trawl survey,Fishes,no,
20558,Gadus_morhua,Atlantic cod / Cod,Actinopteri,"Benoit, H. P. (2006). Standardizing the southern Gulf of St. Lawrence bottom trawl survey time series: Results of the 2004-2005 comparative fishing experiments and other recommendations for the analysis of the survey data. Canadian Science Advisory Secretariat, Fisheries and Oceans Canada.","Southern Gulf of St. Lawrence, NAFO 4T",Average Biomass (kg) per standard tow (ie. 1.75 nautical mile tow),September bottom trawl survey,Fishes,no,
20560,Glyptocephalus_cynoglossus,Witch flounder,Actinopteri,"Benoit, H. P. (2006). Standardizing the southern Gulf of St. Lawrence bottom trawl survey time series: Results of the 2004-2005 comparative fishing experiments and other recommendations for the analysis of the survey data. Canadian Science Advisory Secretariat, Fisheries and Oceans Canada.","Southern Gulf of St. Lawrence, NAFO 4T",Average Biomass (kg) per standard tow (ie. 1.75 nautical mile tow),September bottom trawl survey,Fishes,no,
