"Name","Site","Binomial2","Mass_g.x","MinAge_mo.x","Mass_g.y","MinAge_mo.y"
"ACANTHOCYCLOPS SP","Lake Mendota (WI)","ACANTHOCYCLOPS SP",NA,NA,NA,NA
"Acartia.clausi","Port Erin Bay","Acartia clausi",2.4e-05,0.6333,NA,NA
"Acartia.hudsonica","Narragansett Bay","Acartia hudsonica",NA,NA,NA,NA
"Acartia_sp","Wadden Sea","Acartia sp",NA,NA,NA,NA
"Acartia.tonsa","Narragansett Bay","Acartia tonsa",NA,NA,NA,NA
"Asplanchna priodonta","Lake Geneva","Asplanchna priodonta",1.25e-05,0.25,1.25e-05,0.25
"Asplanchna priodonta","Lake Muggelsee","Asplanchna priodonta",1.25e-05,0.25,1.25e-05,0.25
"Asplanchna.spp.","Lake Kasumigaura","Asplanchna spp ",NA,NA,NA,NA
"Balanidae_nau","Wadden Sea","Balanidae nau",NA,NA,NA,NA
"Biddulphia.mobiliensis","Port Erin Bay","Biddulphia mobiliensis",5.24e-07,0.034,NA,NA
"Biddulphia.sinensis","Port Erin Bay","Biddulphia sinensis",1.07e-06,0.04806,NA,NA
"Bivalvia_larv","Wadden Sea","Bivalvia larv",NA,NA,NA,NA
"Bosmina longirostris","Lake Muggelsee","Bosmina longirostris",2e-05,0.1,2e-05,0.1
"Bosmina.sp","Lake Zurich","Bosmina sp",NA,NA,2e-05,0.1
"Bosmina.spp.","Lake Kasumigaura","Bosmina spp ",NA,NA,NA,NA
"Brachionus angularis","Lake Muggelsee","Brachionus angularis",NA,NA,NA,NA
"Bythotrephes longimanus","Lake Geneva","Bythotrephes longimanus",0.000965,0.18,0.000965,0.18
"C_hamatus","Wadden Sea","C hamatus",NA,NA,NA,NA
"CHYDORUS SP","Lake Mendota (WI)","CHYDORUS SP",NA,NA,NA,NA
"Calanus.finmarchicus","North Sea","Calanus finmarchicus",0.002,1,NA,NA
"Calanus.helgolandicus","North Sea","Calanus helgolandicus",NA,NA,NA,NA
"Candacia.armata","North Sea","Candacia armata",NA,NA,NA,NA
"Centropages.hamatus","Port Erin Bay","Centropages hamatus",7.7e-05,0.6,NA,NA
"Centropages.hamatus.","North Sea","Centropages hamatus ",NA,NA,NA,NA
"Centropages.typicus.","North Sea","Centropages typicus ",NA,NA,NA,NA
"Ceratium.furca.","North Sea","Ceratium furca ",NA,NA,NA,NA
"Ceratium.fusus.","North Sea","Ceratium fusus ",NA,NA,NA,NA
"Ceratium.lineatum.","North Sea","Ceratium lineatum ",NA,NA,NA,NA
"Ceratium.longipes.","North Sea","Ceratium longipes ",NA,NA,NA,NA
"Ceratium.macroceros.","North Sea","Ceratium macroceros ",NA,NA,NA,NA
"Ceratium.tripos","Port Erin Bay","Ceratium tripos",5e-07,0.14,NA,NA
"Ceratium.tripos.","North Sea","Ceratium tripos ",NA,NA,NA,NA
"Chaetoceras.decipiens","Port Erin Bay","Chaetoceras decipiens",2.63e-08,0.03097,NA,NA
"Chaetoceros.Hyalochaete..spp.","North Sea","Chaetoceros Hyalochaete  spp ",NA,NA,NA,NA
"Chaetoceros.Phaeoceros..spp.","North Sea","Chaetoceros Phaeoceros  spp ",NA,NA,NA,NA
"Cirripede.larvae..Total.","North Sea","Cirripede larvae  Total ",NA,NA,NA,NA
"Coccolithaceae..Total.","North Sea","Coccolithaceae  Total ",NA,NA,NA,NA
"Conochilus unicornis","Lake Muggelsee","Conochilus unicornis",NA,NA,NA,NA
"Coscinodiscus.concinnus","Port Erin Bay","Coscinodiscus concinnus",1.97e-05,0.04417,NA,NA
"Coscinodiscus.grani","Port Erin Bay","Coscinodiscus grani",1.84e-06,0.0389,NA,NA
"Coscinodiscus.radiatus","Port Erin Bay","Coscinodiscus radiatus",1.8e-07,0.0375,NA,NA
"Cyclops.abyssorum","Loch Leven","Cyclops abyssorum",NA,NA,NA,NA
"Cyclops prealpinus","Lake Geneva","Cyclops prealpinus",2.3e-05,0.91,2.3e-05,0.91
"Cyclops vicinus","Lake Geneva","Cyclops vicinus",2.3e-05,0.91,2.3e-05,0.91
"Cyclops vicinus","Lake Muggelsee","Cyclops vicinus",2.3e-05,0.91,2.3e-05,0.91
"Cyphonautes","North Sea","Cyphonautes",NA,NA,NA,NA
"DAPHNIA MENDOTAE","Lake Mendota (WI)","DAPHNIA MENDOTAE",NA,NA,NA,NA
"DAPHNIA PULICARIA","Lake Mendota (WI)","DAPHNIA PULICARIA",NA,NA,NA,NA
"DIAPTOMID SPP","Lake Mendota (WI)","DIAPTOMID SPP",NA,NA,NA,NA
"Daphn.pulex","Lake Zurich","Daphn pulex",NA,NA,0.000275,0.133
"Daphnia cucullata","Lake Muggelsee","Daphnia cucullata",NA,NA,NA,NA
"Daphnia galeata","Lake Muggelsee","Daphnia galeata",NA,NA,NA,NA
"Decapoda.larvae..Total.","North Sea","Decapoda larvae  Total ",NA,NA,NA,NA
"Diaphanosoma..brachyurum","Lake Kasumigaura","Diaphanosoma  brachyurum",NA,NA,NA,NA
"Dinophysis.spp..Total","North Sea","Dinophysis spp  Total",NA,NA,NA,NA
"Dreissena polymorpha larvae","Lake Muggelsee","Dreissena polymorpha larvae",NA,NA,NA,NA
"Echinoderm.larvae","North Sea","Echinoderm larvae",NA,NA,NA,NA
"Echinoderm.plutei","Port Erin Bay","Echinoderm plutei",NA,NA,NA,NA
"Eubosmina longicornis berolinensis","Lake Muggelsee","Eubosmina longicornis berolinensis",NA,NA,NA,NA
"Eubosmina longispina","Lake Geneva","Eubosmina longispina",2e-05,0.1,2e-05,0.1
"Eudiaptomus gracilis","Lake Geneva","Eudiaptomus gracilis",5e-05,0.65,5e-05,0.65
"Eudiaptomus.gracilis","Loch Leven","Eudiaptomus gracilis",5e-05,0.65,NA,NA
"Eudiaptomus gracilis","Lake Muggelsee","Eudiaptomus gracilis",5e-05,0.65,5e-05,0.65
"Eudiaptomus graciloides","Lake Muggelsee","Eudiaptomus graciloides",NA,NA,NA,NA
"Evadne.spp.","North Sea","Evadne spp ",NA,NA,NA,NA
"Filinia.spp.","Lake Kasumigaura","Filinia spp ",NA,NA,NA,NA
"Fish.larvae","North Sea","Fish larvae",NA,NA,NA,NA
"Gammaridea","North Sea","Gammaridea",NA,NA,NA,NA
"Gastrop_larv","Wadden Sea","Gastrop larv",NA,NA,NA,NA
"Gastropod.larvae","Port Erin Bay","Gastropod larvae",NA,NA,NA,NA
"Guinardia.flaccida","Port Erin Bay","Guinardia flaccida",6.82e-08,0.034861111,NA,NA
"Harpacticoida","Wadden Sea","Harpacticoida",NA,NA,NA,NA
"Kellicottia longispina","Lake Geneva","Kellicottia longispina",2.5e-06,0.167,2.5e-06,0.167
"Kellicottia longispina","Lake Muggelsee","Kellicottia longispina",2.5e-06,0.167,2.5e-06,0.167
"Keratella cochlearis","Lake Geneva","Keratella cochlearis",2.75e-06,0.143,2.75e-06,0.143
"Keratella cochlearis","Lake Muggelsee","Keratella cochlearis",2.75e-06,0.143,2.75e-06,0.143
"Keratella quadrata","Lake Muggelsee","Keratella quadrata",8.75e-06,0.077,8.75e-06,0.077
"Lamellibranch.larvae","Port Erin Bay","Lamellibranch larvae",NA,NA,NA,NA
"Lauderia.borealis","Port Erin Bay","Lauderia borealis",2.25e-08,0.013472222,NA,NA
"Leptodora kindtii","Lake Geneva","Leptodora kindtii",0.000185,0.2,0.000185,0.2
"Leptodora kindtii","Lake Muggelsee","Leptodora kindtii",0.000185,0.2,0.000185,0.2
"MESOCYCLOPS EDAX","Lake Mendota (WI)","MESOCYCLOPS EDAX",NA,NA,NA,NA
"Medusoid.gonophores","Port Erin Bay","Medusoid gonophores",NA,NA,NA,NA
"Mesoc.edax","Lake Zurich","Mesoc edax",NA,NA,1.74e-05,0.573
"Mesocyclops leuckarti","Lake Muggelsee","Mesocyclops leuckarti",NA,NA,NA,NA
"Metridia.lucens","North Sea","Metridia lucens",NA,NA,NA,NA
"N_scintillans","Wadden Sea","N scintillans",NA,NA,NA,NA
"Noctiluca.miliaris","Port Erin Bay","Noctiluca miliaris",6.5e-05,0.167,NA,NA
"O_dioica","Wadden Sea","O dioica",NA,NA,NA,NA
"Odontella.sinensis.","North Sea","Odontella sinensis ",NA,NA,NA,NA
"Oithona.similis","Port Erin Bay","Oithona similis",2.4e-05,1.05,NA,NA
"Oithona_sp","Wadden Sea","Oithona sp",NA,NA,NA,NA
"Oithona.spp.","North Sea","Oithona spp ",NA,NA,NA,NA
"P_elongatus","Wadden Sea","P elongatus",NA,NA,NA,NA
"Para.Pseudocalanus.spp.","North Sea","Para Pseudocalanus spp ",NA,NA,NA,NA
"Paracalanus.parvus","Port Erin Bay","Paracalanus parvus",9.36e-05,0.62,NA,NA
"Paracalanus_sp","Wadden Sea","Paracalanus sp",NA,NA,NA,NA
"Paralia.sulcata.","North Sea","Paralia sulcata ",NA,NA,NA,NA
"Podon.spp.","North Sea","Podon spp ",NA,NA,NA,NA
"Polyarthra dolichoptera/vulgaris","Lake Muggelsee","Polyarthra dolichoptera/vulgaris",NA,NA,NA,NA
"Polyarthra sp","Lake Geneva","Polyarthra sp",6e-06,0.04,6e-06,0.04
"Polyarthra.spp.","Lake Kasumigaura","Polyarthra spp ",NA,NA,NA,NA
"Polychaete.larvae","Port Erin Bay","Polychaete larvae",NA,NA,NA,NA
"Pompholyx sulcata","Lake Muggelsee","Pompholyx sulcata",NA,NA,NA,NA
"Proboscia.alata","North Sea","Proboscia alata",NA,NA,NA,NA
"Protoperidinium.spp..","North Sea","Protoperidinium spp  ",NA,NA,NA,NA
"Pseudocalanus.elongatus","Port Erin Bay","Pseudocalanus elongatus",0.00017,0.753,NA,NA
"Pseudocalanus.spp..Adult.Atlantic","North Sea","Pseudocalanus spp  Adult Atlantic",NA,NA,NA,NA
"R_oktopunctata","Wadden Sea","R oktopunctata",NA,NA,NA,NA
"Rhizosolenia.imbricata","North Sea","Rhizosolenia imbricata",NA,NA,NA,NA
"Rhizosolenia.shrubsolei","Port Erin Bay","Rhizosolenia shrubsolei",9.51e-10,0.0278,NA,NA
"Rotatoria","Wadden Sea","Rotatoria",NA,NA,NA,NA
"Sagitta.bipunctata","Port Erin Bay","Sagitta bipunctata",0.012,1,NA,NA
"Scrippsiella.spp..","North Sea","Scrippsiella spp  ",NA,NA,NA,NA
"Silicoflagellates.","North Sea","Silicoflagellates ",NA,NA,NA,NA
"Skeletonema.costatum.","North Sea","Skeletonema costatum ",NA,NA,NA,NA
"Spionida_nektoch","Wadden Sea","Spionida nektoch",NA,NA,NA,NA
"Synchaeta oblonga","Lake Muggelsee","Synchaeta oblonga",NA,NA,NA,NA
"Synchaeta pectinata","Lake Muggelsee","Synchaeta pectinata",NA,NA,NA,NA
"Synchaeta sp","Lake Geneva","Synchaeta sp",6.75e-06,0.037,6.75e-06,0.037
"Temora.longicornis","Port Erin Bay","Temora longicornis",0.00012,0.687,NA,NA
"Thalassionema.nitzschioides.","North Sea","Thalassionema nitzschioides ",NA,NA,NA,NA
"Thalassiosira.spp..","North Sea","Thalassiosira spp  ",NA,NA,NA,NA
"Thecosomata..North.Atlantic.","North Sea","Thecosomata  North Atlantic ",NA,NA,NA,NA
"Tintinnida.Total","North Sea","Tintinnida Total",NA,NA,NA,NA
"Trichocerca similis","Lake Muggelsee","Trichocerca similis",NA,NA,NA,NA
"Trichocerca.spp.","Lake Kasumigaura","Trichocerca spp ",NA,NA,NA,NA
