"Site","Name","Level","R2abund","R2gr","modelform","E","tau","theta","JLEmin","JLEmean","JLEmean_mo","JLEsign","taumax","meanlag"
"Lake Geneva","Asplanchna priodonta","SP",0.210627866376377,0.554880918942956,"fd-ut",3,1,8,0.433444752586886,0.439882957152226,0.439882957152226,"chaotic",12,1.89616672598286
"Lake Geneva","Bythotrephes longimanus","SP",0.769831454794922,0.597307814265709,"gr-log",5,5,6,0.101067303829993,0.116598450649163,0.116598450649163,"chaotic",12,2.90893486288814
"Lake Geneva","Conochilus sp","SP",0.148395662720411,0.559326502869117,"fd-ut",3,7,6,0.0973846149542178,0.0984438400409882,0.0984438400409882,"chaotic",12,2.24143308483566
"Lake Geneva","Cyclops prealpinus","SP",0.230015716904636,0.239124829228016,"fd-ut",1,1,0.1,-0.565334594932929,-0.565272086571299,-0.565272086571299,"not chaotic",12,1
"Lake Geneva","Cyclops vicinus","SP",0.544756623648799,0.812686088365805,"fd-ut",4,4,4,-0.00337976432669775,-0.000766617223555362,-0.000766617223555362,"not chaotic",12,2.77324385855871
"Lake Geneva","Eubosmina longispina","SP",0.655234968024107,0.42406263096062,"gr-ut",6,1,1.5,0.108351049529244,0.12229025156956,0.12229025156956,"chaotic",12,1.52770281826614
"Lake Geneva","Eudiaptomus gracilis","SP",0.286661124075075,0.676966055293475,"fd-ut",5,6,0.5,-0.0167671261476524,-0.0166406552236382,-0.0166406552236382,"not chaotic",12,3.19414564612945
"Lake Geneva","Kellicottia longispina","SP",0.235277844067024,0.340481698613477,"fd-ut",3,1,0.75,-0.121593429441249,-0.119047865406051,-0.119047865406051,"not chaotic",12,1.34168739806208
"Lake Geneva","Keratella cochlearis","SP",0.238088265116631,0.659497083898461,"fd-ut",6,4,1.5,0.0180667173967637,0.0186261071188679,0.0186261071188679,"chaotic",12,3.7984777541667
"Lake Geneva","Keratella quadrata","SP",0.128196072901094,0.702629160215076,"fd-ut",5,4,4,0.0420863140570536,0.0440766686616757,0.0440766686616757,"chaotic",12,3.13629643413797
"Lake Geneva","Leptodora kindtii","SP",0.208927342905997,0.700471956801793,"gr-ut",4,1,3,0.394185287233773,0.410229364817879,0.410229364817879,"chaotic",12,1.83423473341967
"Lake Geneva","Polyarthra sp","SP",0.228187322755268,0.709668868731517,"fd-ut",5,6,0.5,-0.000473270416193786,-0.000312632672642668,-0.000312632672642668,"not chaotic",12,2.57464163754832
"Lake Geneva","Synchaeta sp","SP",0.155188805840413,0.589361417647064,"fd-ut",6,4,1.5,-0.000952813126692301,-0.000698595910524977,-0.000698595910524977,"not chaotic",12,4.37844089405869
"Loch Leven","Cyclops.abyssorum","SP",0.43159447416515,0.436804713513209,"fd-ut",5,1,2,-0.110942549670763,-0.0970948162953082,-0.0970948162953082,"not chaotic",12,1.99167776752946
"Loch Leven","Eudiaptomus.gracilis","SP",0.332345300257294,0.240664899891743,"fd-ut",2,1,3,-0.271471224182016,-0.260221440689525,-0.260221440689525,"not chaotic",12,1.19673591656712
"Lake Zurich","Bosmina.sp","SP",0.358731143718433,0.696284570160868,"fd-ut",4,3,0,-0.035307846149681,-0.0352800741318596,-0.0352800741318596,"not chaotic",12,3.57003381274952
"Lake Zurich","Bytho.long","SP",0.138545359717677,0.641915463481943,"fd-ut",1,5,6,0.149448078188098,0.16080673137628,0.16080673137628,"chaotic",12,1
"Lake Zurich","Cyclo.abyss","SP",0.138893470992973,0.581879887929293,"fd-ut",3,4,1.5,-0.0892530681012615,-0.0876393930607777,-0.0876393930607777,"not chaotic",12,2.03819352374587
"Lake Zurich","Cyclo.bohat","SP",0.0406997950148918,0.580880654981312,"fd-ut",2,9,0,-0.0953127785222084,-0.0952750137273573,-0.0952750137273573,"not chaotic",12,1.51998287064285
"Lake Zurich","Cyclo.vicin","SP",0.119717181415207,0.436517739238735,"fd-ut",1,1,0.75,0.0172171682989385,0.0314867437188361,0.0314867437188361,"chaotic",12,1
"Lake Zurich","Daphn.hyali","SP",0.0738341349072513,0.503445227917583,"gr-log",6,3,3,0.0171272408576542,0.0224510712687828,0.0224510712687828,"chaotic",12,3.43066050308418
"Lake Zurich","Daphn.pulex","SP",0.430358400168249,0.118957041175326,"fd-ut",1,12,0,-0.0339247289170919,-0.0339215720218989,-0.0339215720218989,"not chaotic",12,1
"Lake Zurich","Eudiapt.graci","SP",0.0662992215802746,0.607414235663088,"fd-ut",2,6,0.3,-0.0847816327026461,-0.0844155743605327,-0.0844155743605327,"not chaotic",12,1.65318035657592
"Lake Zurich","Mesoc.edax","SP",0.227440919679094,0.232617837460118,"fd-ut",1,1,0.1,-0.539386643932838,-0.537191439507688,-0.537191439507688,"not chaotic",12,1
"Lake Muggelsee","Asplanchna priodonta","SP",0.310747546836746,0.700571469041049,"gr-log",6,6,4,0.0215602055142032,0.0227098867321317,0.0227098867321317,"chaotic",12,3.28128034716908
"Lake Muggelsee","Bosmina longirostris","SP",0.525103452784726,0.677126592059816,"gr-log",6,2,4,0.112195536053989,0.118133696179656,0.118133696179656,"chaotic",12,3.58369409331557
"Lake Muggelsee","Brachionus angularis","SP",0.329552604932686,0.522046093771358,"fd-ut",3,1,4,1.13199649781057,1.13931080909712,1.13931080909712,"chaotic",12,1.34097474549446
"Lake Muggelsee","Brachionus calyciflorus","SP",0.123158134067633,0.50628399212471,"gr-log",5,1,8,0.493221345509574,0.497709246694014,0.497709246694014,"chaotic",12,2.95378330090468
"Lake Muggelsee","Chydorus sphaericus","SP",0.149893333175723,0.633921618063766,"fd-ut",5,1,2,0.737938274016364,0.741113438536006,0.741113438536006,"chaotic",12,1.98766383973333
"Lake Muggelsee","Conochilus unicornis","SP",0.205904760643433,0.60420545828554,"fd-ut",2,6,0,-0.0598756201575639,-0.0598662258093432,-0.0598662258093432,"not chaotic",12,1.94867818001227
"Lake Muggelsee","Cyclops vicinus","SP",0.366016429547745,0.496997979475278,"fd-ut",4,12,0,-0.0134093456703724,-0.0133946572185427,-0.0133946572185427,"not chaotic",12,1.93927875966836
"Lake Muggelsee","Daphnia cucullata","SP",0.543403415729776,0.787428660580036,"fd-ut",4,6,6,0.0297509054518291,0.032476741256209,0.032476741256209,"chaotic",12,2.82863083768505
"Lake Muggelsee","Daphnia galeata","SP",0.398140864126255,0.634416088464759,"fd-ut",6,4,0,-0.00900154683306999,-0.00898501344201096,-0.00898501344201096,"not chaotic",12,3.71581267382001
"Lake Muggelsee","Dreissena polymorpha larvae","SP",0.579511060468498,0.816969418808133,"fd-ut",6,6,6,0.0154147743089314,0.0165395623990315,0.0165395623990315,"chaotic",12,3.87849247089735
"Lake Muggelsee","Eubosmina coregoni","SP",0.115173568268997,0.415457267598081,"fd-ut",2,1,0.75,0.28342945015738,0.286991036561414,0.286991036561414,"chaotic",12,1.15550354170702
"Lake Muggelsee","Eubosmina longicornis berolinensis","SP",0.276237448975992,0.22229792550374,"fd-ut",1,1,0.3,-0.0333544819092753,-0.0332724071237277,-0.0332724071237277,"not chaotic",12,1
"Lake Muggelsee","Eudiaptomus gracilis","SP",0.235995227697689,0.245634681662354,"fd-ut",5,1,3,-0.105978152963353,-0.105535185932862,-0.105535185932862,"not chaotic",12,2.06291655370876
"Lake Muggelsee","Eudiaptomus graciloides","SP",0.467152137967,0.212993198895139,"fd-ut",1,1,1.5,-0.0345475347051938,-0.0330981211763358,-0.0330981211763358,"not chaotic",12,1
"Lake Muggelsee","Kellicottia longispina","SP",0.380551633099197,0.440672371311163,"gr-ut",6,2,4,0.0751257862229702,0.0768119957702597,0.0768119957702597,"chaotic",12,2.49076601919888
"Lake Muggelsee","Keratella cochlearis","SP",0.312845740469352,0.781914266870298,"fd-ut",6,1,4,0.0197126643419437,0.0223018867727459,0.0223018867727459,"chaotic",12,2.70359267068188
"Lake Muggelsee","Keratella quadrata","SP",0.383041821550648,0.81099349891886,"gr-log",6,6,4,0.0126727251768903,0.0135714534298509,0.0135714534298509,"chaotic",12,3.48557175766147
"Lake Muggelsee","Leptodora kindtii","SP",0.435156702095638,0.825090071614106,"gr-log",3,1,0.5,-0.00471359548080594,-0.00244236310259438,-0.00244236310259438,"not chaotic",12,1.69012064677199
"Lake Muggelsee","Mesocyclops leuckarti","SP",0.49061014397511,0.553339172760278,"fd-ut",6,1,3,0.0171572047065884,0.0201607402966962,0.0201607402966962,"chaotic",12,2.93869230066052
"Lake Muggelsee","Polyarthra dolichoptera/vulgaris","SP",0.296805998875141,0.73782238054089,"fd-ut",6,6,0.3,-0.00633839270154256,-0.00628227451412757,-0.00628227451412757,"not chaotic",12,4.05872768782215
"Lake Muggelsee","Pompholyx sulcata","SP",0.395768279282118,0.895157058681611,"fd-ut",6,3,0,-0.042399831977798,-0.0423906471334657,-0.0423906471334657,"not chaotic",12,4.05495842005811
"Lake Muggelsee","Synchaeta oblonga","SP",0.155086767382057,0.554806123546226,"fd-ut",1,12,8,-0.0305952830681523,-0.0299880991431886,-0.0299880991431886,"not chaotic",12,1
"Lake Muggelsee","Synchaeta pectinata","SP",0.205511357987232,0.54588102651421,"fd-ut",5,12,3,0.00131484794455723,0.00144754369181498,0.00144754369181498,"not chaotic",12,2.53836375262914
"Lake Muggelsee","Trichocerca similis","SP",0.256231739850822,0.658364757630849,"fd-ut",6,6,6,0.0316955283882945,0.0322752516963707,0.0322752516963707,"chaotic",12,3.77584306796408
"Narragansett Bay","Acartia.hudsonica","SP",0.537367285574101,0.910561596227507,"fd-ut",4,3,2,-0.00740860239045929,0.00587623817603816,0.00587623817603816,"not chaotic",12,3.09559488198728
"Narragansett Bay","Acartia.tonsa","SP",0.567963995722588,0.79430319508143,"fd-ut",4,3,6,0.0626463307301688,0.0769013814179446,0.0769013814179446,"chaotic",12,3.04160012968299
"North Sea","Paralia.sulcata.","SP",0.277189943010997,0.661888697513999,"fd-ut",6,6,0,-0.0199671899101087,-0.0199652109737471,-0.0199652109737471,"not chaotic",12,3.70301285149844
"North Sea","Skeletonema.costatum.","SP",0.258865299949985,0.74998946490619,"gr-ut",4,12,0,0.00209104975115794,0.00220603668923854,0.00220603668923854,"not chaotic",12,1.14349920692093
"North Sea","Thalassiosira.spp..","SP",0.338285129269783,0.756454191937552,"fd-ut",6,12,1,-0.000438158121389141,-0.000430480623397544,-0.000430480623397544,"not chaotic",12,3.73528292145237
"North Sea","Rhizosolenia.styliformis.","SP",0.0575452470169527,0.398051583913595,"gr-log",6,9,8,0.0220541501944864,0.0227097165535023,0.0227097165535023,"chaotic",12,3.52139512721131
"North Sea","Rhizosolenia.hebetata.semispina.","SP",0.145722219438337,0.63488105233303,"fd-ut",4,4,6,0.0528581562595009,0.05385950338721,0.05385950338721,"chaotic",12,2.61311413052507
"North Sea","Chaetoceros.Hyalochaete..spp.","SP",0.22568837136921,0.740265012561751,"fd-ut",6,4,1.5,-0.0131424166082733,-0.0126239379035078,-0.0126239379035078,"not chaotic",12,3.89001970772896
"North Sea","Chaetoceros.Phaeoceros..spp.","SP",0.267996661934107,0.629954856164735,"fd-ut",6,12,0.1,-0.0106102247137215,-0.0106079606618702,-0.0106079606618702,"not chaotic",12,3.60285098615138
"North Sea","Odontella.sinensis.","SP",0.154318028261117,0.447122260017578,"fd-ut",6,12,0,-0.00927056169528066,-0.00926982152911012,-0.00926982152911012,"not chaotic",12,3.49096804424641
"North Sea","Thalassionema.nitzschioides.","SP",0.301802592711557,0.542109853723416,"gr-log",6,1,8,0.221826561160733,0.22329291017198,0.22329291017198,"chaotic",12,3.33346633581403
"North Sea","Proboscia.alata","SP",0.378223471703588,0.76189686622005,"fd-ut",6,6,0,-0.0150438350818207,-0.0150347316517908,-0.0150347316517908,"not chaotic",12,4.16564321816933
"North Sea","Pseudo.nitzschia.delicatissima.complex","SP",0.055550603063579,0.580517122737728,"fd-ut",3,8,1.5,-0.0015489945550468,-0.00139970170138464,-0.00139970170138464,"not chaotic",12,2.43334949784674
"North Sea","Pseudo.nitzschia.seriata.complex.","SP",0.0861664360883017,0.45564953943592,"gr-ut",5,9,1,-0.010113097250208,-0.0096732332500844,-0.0096732332500844,"not chaotic",12,1.77756221973727
"North Sea","Rhizosolenia.imbricata","SP",0.19189566703086,0.632862468032981,"fd-ut",6,6,4,0.0208478828467012,0.0211776897093049,0.0211776897093049,"chaotic",12,3.51850189076596
"North Sea","Coccolithaceae..Total.","SP",0.286202387404558,0.690941096807719,"fd-ut",4,5,4,0.0423415391881036,0.0430521158111778,0.0430521158111778,"chaotic",12,2.47725388784471
"North Sea","Silicoflagellates.","SP",0.250702065654193,0.699588098245816,"gr-log",5,8,6,0.0148831044788706,0.0177992667234441,0.0177992667234441,"chaotic",12,2.99749016868264
"North Sea","Ceratium.fusus.","SP",0.436457134409318,0.823945365093807,"fd-ut",3,1,3,0.359852032264633,0.362705281981769,0.362705281981769,"chaotic",12,1.60030413307821
"North Sea","Ceratium.furca.","SP",0.455695722789451,0.580775486692927,"fd-ut",3,1,2,0.381706779681089,0.382105350368367,0.382105350368367,"chaotic",12,1.61116605972105
"North Sea","Ceratium.lineatum.","SP",0.327934871090472,0.707294346887853,"fd-ut",6,4,2,0.0146920546406159,0.0148092823844655,0.0148092823844655,"chaotic",12,4.0448878815164
"North Sea","Ceratium.tripos.","SP",0.406059574811426,0.768053850999849,"fd-ut",5,6,4,0.0139032847806879,0.0146921311993826,0.0146921311993826,"chaotic",12,2.9048395760495
"North Sea","Ceratium.macroceros.","SP",0.561069458290318,0.692120971971954,"fd-ut",6,10,3,0.00252566537091047,0.00269036337144034,0.00269036337144034,"not chaotic",12,3.20552580674143
"North Sea","Ceratium.horridum.","SP",0.14777070748387,0.266659873267617,"fd-ut",1,1,0,-0.870022606976998,-0.870022437159279,-0.870022437159279,"not chaotic",12,1
"North Sea","Ceratium.longipes.","SP",0.221042063282975,0.619574792799222,"gr-log",6,2,4,0.00680543831759239,0.00947095007305348,0.00947095007305348,"not chaotic",12,3.71990457316782
"North Sea","Dinophysis.spp..Total","SP",0.265936818932497,0.356911067112697,"fd-ut",4,12,0.75,0.00586754423059013,0.00587567992278774,0.00587567992278774,"not chaotic",12,2.39420650999619
"North Sea","Protoperidinium.spp..","SP",0.365449792008418,0.76143043481708,"fd-ut",4,6,3,0.0107029775133495,0.0112950391848679,0.0112950391848679,"chaotic",12,2.7272720694114
"North Sea","Scrippsiella.spp..","SP",0.224010685890392,0.590821935419039,"gr-log",6,12,4,-0.000819569041229554,-0.000710601269529664,-0.000710601269529664,"not chaotic",12,3.63753642754993
"North Sea","Tintinnida.Total","SP",0.165320586414152,0.612862340443967,"fd-ut",3,8,3,-0.0109282512835466,-0.0105043601026122,-0.0105043601026122,"not chaotic",12,2.02095516282136
"North Sea","Oithona.spp.","SP",0.475487094290967,0.792663580341809,"fd-ut",6,6,0.3,-0.0075701048050046,-0.00748091613748622,-0.00748091613748622,"not chaotic",12,4.01634965060383
"North Sea","Pseudocalanus.spp..Adult.Atlantic","SP",0.336987571316713,0.321759771451592,"fd-ut",6,1,1.5,0.0130767354725947,0.0142157226294883,0.0142157226294883,"chaotic",12,2.61958242436172
"North Sea","Para.Pseudocalanus.spp.","SP",0.455754613650071,0.639378288279817,"fd-ut",5,1,1.5,-0.0439093663509472,-0.0419572208554603,-0.0419572208554603,"not chaotic",12,2.06584034742941
"North Sea","Temora.longicornis","SP",0.139454784869169,0.631691951290132,"fd-ut",5,6,1.5,-0.00146962595097208,-0.00126518953347602,-0.00126518953347602,"not chaotic",12,3.28555141374789
"North Sea","Centropages.typicus.","SP",0.266159819727357,0.683699566819097,"fd-ut",3,8,1.5,0.00500125420983218,0.00514014642527104,0.00514014642527104,"not chaotic",12,2.78170222742745
"North Sea","Centropages.hamatus.","SP",0.175051937222742,0.615946383526944,"fd-ut",6,4,1.5,0.00954111663265948,0.00965507563947451,0.00965507563947451,"not chaotic",12,4.19306757199268
"North Sea","Calanus.finmarchicus","SP",0.279469429106421,0.643472456345993,"fd-ut",4,6,4,0.0102728087841855,0.0106396796652408,0.0106396796652408,"chaotic",12,2.69460062197972
"North Sea","Calanus.helgolandicus","SP",0.196448965173694,0.409614028831257,"fd-ut",6,12,0.75,-0.00311964682850625,-0.00311026666465142,-0.00311026666465142,"not chaotic",12,3.11462143293009
"North Sea","Metridia.lucens","SP",0.207472714617215,0.549953406950486,"gr-log",5,6,6,0.019930008743654,0.0204011204209631,0.0204011204209631,"chaotic",12,2.91371296138903
"North Sea","Candacia.armata","SP",0.288671486914274,0.704714079564476,"fd-ut",6,6,4,0.00631159179085475,0.00730315060426756,0.00730315060426756,"not chaotic",12,3.49686837821874
"North Sea","Podon.spp.","SP",0.247057415084365,0.871894980280667,"fd-ut",3,6,3,0.0459801595024775,0.0462408834304675,0.0462408834304675,"chaotic",12,2.02320956719336
"North Sea","Evadne.spp.","SP",0.306070345854048,0.4371545315507,"fd-ut",5,12,0,-0.00553024831282675,-0.00552914149620479,-0.00552914149620479,"not chaotic",12,3.55234623595984
"North Sea","Cyphonautes","SP",0.165165934978189,0.402694299947399,"fd-ut",5,1,1.5,0.0170837170124718,0.0183360176913915,0.0183360176913915,"chaotic",12,2.28460522884177
"North Sea","Echinoderm.larvae","SP",0.376733423158379,0.339815110681789,"fd-ut",4,12,1,0.00479002525729049,0.00479316503002384,0.00479316503002384,"not chaotic",12,2.35357230090235
"North Sea","Gammaridea","SP",0.376508705948464,0.472808869970058,"fd-ut",3,10,6,-0.00915353150536615,-0.00844651775241722,-0.00844651775241722,"not chaotic",12,1.92638938687544
"North Sea","Hyperiidea..Total.","SP",0.146909777667648,0.309357789514951,"fd-ut",1,1,0.3,-0.433456138918375,-0.432316845762602,-0.432316845762602,"not chaotic",12,1
"North Sea","Decapoda.larvae..Total.","SP",0.458648130423284,0.759523976509316,"fd-ut",6,2,4,0.0205222254288332,0.0215563735638531,0.0215563735638531,"chaotic",12,4.05484126263526
"North Sea","Cirripede.larvae..Total.","SP",0.429390648385853,0.684600800214511,"gr-log",6,8,6,0.00733591822270762,0.00784631302076537,0.00784631302076537,"not chaotic",12,3.619165000278
"North Sea","Appendicularia","SP",0.136852637352386,0.77372475284725,"fd-ut",4,6,0.5,-0.00661822897246001,-0.00651427094633862,-0.00651427094633862,"not chaotic",12,2.91085561177995
"North Sea","Bivalvia.larvae","SP",0.141117694666272,0.736718253903935,"fd-ut",6,8,3,0.0239378178613777,0.0241988213594365,0.0241988213594365,"chaotic",12,3.76266181902734
"North Sea","Thecosomata..North.Atlantic.","SP",0.239915717714425,0.717239573725914,"fd-ut",6,8,4,0.012704942260211,0.0130233461550538,0.0130233461550538,"chaotic",12,3.6194910570729
"North Sea","Fish.larvae","SP",0.235205815145886,0.66126881208804,"fd-ut",6,4,2,0.000166989762683592,0.00051798572765987,0.00051798572765987,"not chaotic",12,4.04209049042552
"Port Erin Bay","Chaetoceras.decipiens","SP",0.642197109941844,0.835662655339796,"fd-ut",2,3,8,0.27509699433731,0.280697958952203,0.280697958952203,"chaotic",12,1.63372349109968
"Port Erin Bay","Chaetoceras.debile","SP",0.139675302002416,0.564500331039646,"gr-log",4,6,8,0.184520827699885,0.191515029027976,0.191515029027976,"chaotic",12,2.53934187896949
"Port Erin Bay","Chaetoceras.teres","SP",0.145252093684525,0.655442661397538,"fd-ut",3,8,1.5,0.00736334365038644,0.00750478882278089,0.00750478882278089,"not chaotic",12,2.10866987402681
"Port Erin Bay","Rhizosolenia.semispina","SP",0.0468338289982819,0.532745901080389,"gr-log",2,12,8,0.0751071091326205,0.0768100300974079,0.0768100300974079,"chaotic",12,1.43526193876767
"Port Erin Bay","Rhizosolenia.shrubsolei","SP",0.688747103700762,0.581304363062407,"gr-log",6,1,3,0.57536449491047,0.599075019276562,0.599075019276562,"chaotic",12,3.29539533769772
"Port Erin Bay","Rhizosolenia.stolterfothii","SP",0.0175541383790179,0.498577897777584,"gr-ut",1,1,0,-0.487096862235698,-0.485292710372634,-0.485292710372634,"not chaotic",12,1
"Port Erin Bay","Coscinodiscus.concinnus","SP",0.471029144179413,0.859912384187624,"gr-log",4,6,4,0.0562811686051083,0.0627899088551442,0.0627899088551442,"chaotic",12,2.66727289941812
"Port Erin Bay","Coscinodiscus.radiatus","SP",0.754786324919299,0.82311875350292,"gr-log",6,3,3,0.0810891060267998,0.0973165751385131,0.0973165751385131,"chaotic",12,3.57386439655908
"Port Erin Bay","Coscinodiscus.grani","SP",0.546143865955393,0.620307705958348,"fd-ut",2,1,4,-0.0340167083172533,-0.0213290281664905,-0.0213290281664905,"not chaotic",12,1.32240444025495
"Port Erin Bay","Biddulphia.mobiliensis","SP",0.439554891420187,0.815736755429566,"gr-log",6,2,4,0.0798681312330062,0.0909978872758062,0.0909978872758062,"chaotic",12,3.58962044479348
"Port Erin Bay","Biddulphia.sinensis","SP",0.365354919852068,0.474542038119174,"gr-log",5,2,6,0.439048583144972,0.449975588382506,0.449975588382506,"chaotic",12,2.8811687773337
"Port Erin Bay","Guinardia.flaccida","SP",0.276853618342922,0.556438545972621,"gr-log",5,1,2,0.333833534869795,0.357421831350113,0.357421831350113,"chaotic",12,2.56120746924124
"Port Erin Bay","Lauderia.borealis","SP",0.172300961090808,0.692672919307568,"fd-ut",3,8,8,0.101317787759695,0.102130485594235,0.102130485594235,"chaotic",12,2.49097491494778
"Port Erin Bay","Ceratium.tripos","SP",0.573623537939474,0.531049627378727,"fd-ut",2,1,1.5,-0.261479575691987,-0.25331266934584,-0.25331266934584,"not chaotic",12,1.17985508424128
"Port Erin Bay","Noctiluca.miliaris","SP",0.20807970282795,0.608908043581482,"fd-ut",1,8,8,0.12769101697936,0.127871766894388,0.127871766894388,"chaotic",12,1
"Port Erin Bay","Paracalanus.parvus","SP",0.553166711501672,0.625087191329013,"gr-log",6,1,4,0.166276334324365,0.184143551287946,0.184143551287946,"chaotic",12,3.02649623803162
"Port Erin Bay","Pseudocalanus.elongatus","SP",0.298530893210446,0.76624197792702,"fd-ut",5,2,3,0.00757617162535074,0.00911252678780719,0.00911252678780719,"not chaotic",12,3.20632370896932
"Port Erin Bay","Oithona.similis","SP",0.476807676837404,0.785552402839623,"fd-ut",6,2,3,0.0146295666085144,0.01550573570053,0.01550573570053,"chaotic",12,4.46251577704637
"Port Erin Bay","Acartia.clausi","SP",0.526846738005821,0.820845747806114,"gr-ut",6,1,2,0.0413632953716384,0.0573618581674287,0.0573618581674287,"chaotic",12,2.46774290300796
"Port Erin Bay","Calanus.finmarchicus","SP",0.105737279241204,0.560490503101178,"gr-log",6,1,4,0.162503679798854,0.176244643403782,0.176244643403782,"chaotic",12,3.25036210321347
"Port Erin Bay","Centropages.hamatus","SP",0.505221836582443,0.897814520275538,"fd-ut",6,4,4,0.0270828345646771,0.0280458749167235,0.0280458749167235,"chaotic",12,3.88429802527267
"Port Erin Bay","Temora.longicornis","SP",0.415714483720809,0.912300795363849,"gr-ut",2,9,1,0.0688742017572569,0.0729022981239815,0.0729022981239815,"chaotic",12,1.35820035803861
"Port Erin Bay","Echinoderm.plutei","SP",0.161815492032886,0.296828266078921,"gr-log",3,1,3,0.244694787941362,0.265460022417726,0.265460022417726,"chaotic",12,1.8752674339564
"Port Erin Bay","Polychaete.larvae","SP",0.293529676519831,0.744106604053476,"gr-log",6,4,0.75,0.0159397063090897,0.0213748373428685,0.0213748373428685,"chaotic",12,3.75128020286379
"Port Erin Bay","Lamellibranch.larvae","SP",0.242849235011661,0.3763237412164,"gr-log",2,1,8,0.26845685587432,0.282145386803603,0.282145386803603,"chaotic",12,1.44327759433809
"Port Erin Bay","Gastropod.larvae","SP",0.155173578011934,0.369939056401109,"fd-ut",6,1,1.5,-0.150742597315279,-0.148604557048786,-0.148604557048786,"not chaotic",12,2.97629320429778
"Port Erin Bay","Sagitta.bipunctata","SP",0.245194506048073,0.657656529387941,"fd-ut",3,9,4,0.0133680016689382,0.0139904012788035,0.0139904012788035,"chaotic",12,2.19484223144708
"Port Erin Bay","Medusoid.gonophores","SP",0.339223524244623,0.635818106314609,"fd-ut",1,1,4,0.527614826984182,0.535242867507869,0.535242867507869,"chaotic",12,1
"Wadden Sea","Acartia_sp","SP",0.196710257819633,0.929429009407427,"gr-ut",4,1,0,-0.110514485870055,-0.105271756164142,-0.105271756164142,"not chaotic",12,1.21603532523227
"Wadden Sea","Balanidae_nau","SP",0.672228178905556,0.795089811284167,"fd-ut",4,2,4,0.0223522744064715,0.031945129268016,0.031945129268016,"chaotic",12,2.32380315775896
"Wadden Sea","Bivalvia_larv","SP",0.232012527222986,0.624680010674266,"gr-log",4,3,8,0.140044985348873,0.156659049541803,0.156659049541803,"chaotic",12,2.36483354324284
"Wadden Sea","C_hamatus","SP",0.440222782535481,0.654747553690596,"gr-log",3,3,6,0.0519813111236756,0.0619362517363002,0.0619362517363002,"chaotic",12,1.90779462572694
"Wadden Sea","Gastrop_larv","SP",0.308948494866905,0.862161435001406,"fd-ut",3,5,3,0.0841001355736323,0.0874428432310824,0.0874428432310824,"chaotic",12,1.87728292394941
"Wadden Sea","Harpacticoida","SP",0.381003331295816,0.429014533770815,"gr-ut",5,1,6,0.17575255083472,0.197732920841505,0.197732920841505,"chaotic",12,2.2746005450723
"Wadden Sea","Membranipora_larv","SP",0.0588664441887925,0.328482594353477,"fd-ut",2,2,0,-0.831232377234326,-0.830650432920664,-0.830650432920664,"not chaotic",12,1.07136253469224
"Wadden Sea","N_scintillans","SP",0.3126262237186,0.662547589806186,"gr-ut",4,4,4,0.0966636704166613,0.103712798198231,0.103712798198231,"chaotic",12,2.0206148952304
"Wadden Sea","O_dioica","SP",0.516149026818632,0.773958202581002,"fd-ut",4,3,6,0.0764198837214786,0.0865998016823573,0.0865998016823573,"chaotic",12,2.82264685584432
"Wadden Sea","Oithona_sp","SP",0.668210121916954,0.548364910684596,"gr-log",2,1,6,0.0978043282673748,0.108180625733617,0.108180625733617,"chaotic",12,1.42094065011884
"Wadden Sea","P_elongatus","SP",0.200099905605283,0.503709185395851,"gr-log",3,2,8,0.208957759957832,0.220337507479398,0.220337507479398,"chaotic",12,1.88281830268152
"Wadden Sea","P_parvus","SP",0.0666041389609293,0.586547607581591,"fd-ut",2,5,3,-0.0418711526630371,-0.0407892911754663,-0.0407892911754663,"not chaotic",12,1.6283812198063
"Wadden Sea","Paracalanus_sp","SP",0.371858761781449,0.160705574832932,"fd-ut",1,1,0,-0.454195904881229,-0.454169052049808,-0.454169052049808,"not chaotic",12,1
"Wadden Sea","R_oktopunctata","SP",0.193054938863992,0.520670346852676,"gr-ut",1,12,0,-0.0327228892056138,-0.031903443225532,-0.031903443225532,"not chaotic",12,1
"Wadden Sea","Rotatoria","SP",0.203180427995925,0.636116956159035,"fd-ut",5,3,3,0.0275936824415795,0.0291490277628989,0.0291490277628989,"chaotic",12,3.46044038703829
"Wadden Sea","Spionida_nektoch","SP",0.742032542019762,0.864269657598061,"fd-ut",2,1,6,0.257142424751205,0.267907459342275,0.267907459342275,"chaotic",12,1.28232689658405
"Wadden Sea","T_longicornis","SP",0.103455525616711,0.274562888903156,"gr-ut",1,1,0,-0.111530205741051,-0.108576204738229,-0.108576204738229,"not chaotic",12,1
"Wadden Sea","Turbellaria","SP",0.0969050415979511,0.621480397055371,"fd-ut",1,11,0.75,-0.00188045974771203,-0.00134519963371125,-0.00134519963371125,"not chaotic",12,1
